,Title,Datetime,Source,URL
300,"Mercy Hospital unveils $20m COVID-19 testing, treatment facility",2020-05-22T18:24:00.0000000Z,Stabroek News,https://www.stabroeknews.com/2020/05/22/news/guyana/mercy-hospital-unveils-20m-covid-19-testing-treatment-facility/
301,Participating NHS hospitals begin enrolling volunteers for COVID-19 trial,2020-05-21T16:26:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/participating-nhs-hospitals-begin-enrolling-volunteers-for-covid-19-trial/ar-BB14qpqF
302,Wuhan’s hospitals return to normal after last coronavirus patients return home,2020-05-17T08:30:00.0000000Z,South China Morning Post,https://www.scmp.com/news/china/society/article/3084761/wuhans-hospitals-return-normal-after-last-coronavirus-patients
303,Rebuilding America: Acadiana hospitals not spared by COVID-19 economic impact,2020-05-20T22:04:00.0000000Z,MSN,https://www.msn.com/en-us/health/wellness/rebuilding-america-acadiana-hospitals-not-spared-by-covid-19-economic-impact/ar-BB14nO5e
304,The Latest: 4 Kenya presidential staff are COVID-19 positive,2020-06-15T15:27:00.0000000Z,Houston Chronicle,https://www.houstonchronicle.com/news/article/The-Latest-India-may-use-train-carriages-for-15339810.php
305,The Latest: 4 Kenya presidential staff are COVID-19 positive,2020-06-15T15:27:00.0000000Z,Houston Chronicle,https://www.houstonchronicle.com/news/article/The-Latest-India-may-use-train-carriages-for-15339810.php
306,Maryland hospital first in US with new ICU wing specifically for COVID-19 patients,2020-05-26T18:40:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/maryland-hospital-first-in-us-with-new-icu-wing-specifically-for-covid-19-patients/ar-BB14CLrD
307,MGH begins to shift some resources as COVID-19 cases decline,2020-05-17T19:43:00.0000000Z,The Boston Globe,https://www.bostonglobe.com/2020/05/17/nation/mgh-begins-shift-some-resources-covid-19-cases-decline/
308,AIIMS sanitation supervisor dies due to Covid-19,2020-05-26T05:02:00.0000000Z,Hindustan Times,https://www.hindustantimes.com/delhi-news/aiims-sanitation-supervisor-dies-due-to-covid-19/story-AKxCXjNkpo6jdYPDkpaw4L.html
309,"Covid-19 Lockdowns May Spark Rise in HIV Due to Fear of Hospitals, Lack of Medical Checks: Experts",2020-05-12T02:27:00.0000000Z,Yahoo! News,https://in.news.yahoo.com/people-scared-hospitals-now-covid19-021900018.html
310,The Latest: 4 Kenya presidential staff are COVID-19 positive,2020-06-15T15:24:00.0000000Z,StarTribune,https://www.startribune.com/the-latest-india-may-use-train-carriages-for-virus-beds/571256452/
311,Mzuzu Central Hospital opens new guardian shelter to contain Covid-19,2020-05-22T07:28:00.0000000Z,Malawi Nyasa Times,https://www.nyasatimes.com/mzuzu-central-hospital-opens-new-guardian-shelter-to-contain-covid-19/
312,"5 Doctors, Including 4 Who Treated Covid-19 Patient, Test Positive For the Disease in Kashmir",2020-05-18T08:48:00.0000000Z,Yahoo! News,https://in.news.yahoo.com/5-doctors-including-4-treated-084200811.html
313,The Latest: 4 Kenya presidential staff are COVID-19 positive,2020-06-15T15:05:00.0000000Z,Daily Herald,https://www.heraldextra.com/business/the-latest-4-kenya-presidential-staff-are-covid-19-positive/article_ac7d4e2c-a9c8-5fcc-a59c-481b3e7f72af.html?block_id=1682681
314,New Zealand discharges last coronavirus patient from hospital and records no new cases in five days,2020-05-27T12:58:00.0000000Z,ITV,https://www.itv.com/news/2020-05-27/new-zealand-discharges-last-coronavirus-patient-from-hospital-and-records-no-new-cases-in-five-days/
315,New Zealand discharges last coronavirus patient from hospital and records no new cases in five days,2020-05-27T12:58:00.0000000Z,ITV,https://www.itv.com/news/2020-05-27/new-zealand-discharges-last-coronavirus-patient-from-hospital-and-records-no-new-cases-in-five-days/
316,Batesville woman who was one of The Christ Hospital's first COVID-19 patients discharged after 50 days,2020-05-29T00:52:00.0000000Z,WLWT,https://www.wlwt.com/article/batesville-woman-who-was-one-of-the-christ-hospitals-first-covid-19-patients-discharged-after-50-days/32704889
317,St. John's Riverside Hospital in Yonkers discharges 750th coronavirus patient,2020-05-14T22:22:00.0000000Z,The Journal News,https://www.lohud.com/story/news/local/westchester/yonkers/2020/05/14/st-johns-riverside-hospital-coronavirus/5189598002/
318,Hospital Staff With Covid-19 Had Protective Antibodies in Study,2020-05-26T11:22:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/hospital-staff-with-covid-19-had-protective-antibodies-in-study/ar-BB14BRFK
319,Covid-19 fuelling mother and child mortality rates,2020-06-15T18:24:00.0000000Z,Hindustan Times,https://www.hindustantimes.com/india-news/covid-19-fuelling-mother-and-child-mortality-rates/story-AlGlGzVDystpDDrCUwfnbM.html
320,"‘An Arm And A Leg’: The $7,000 COVID Test And Other Lessons From SEASON-19",2020-06-01T09:00:00.0000000Z,Kaiser Health News,https://khn.org/news/an-arm-and-a-leg-the-7000-covid-test-and-other-lessons-from-season-19/
321,The pros and cons of working remotely,2020-06-11T10:42:00.0000000Z,The Jerusalem Post Blogs,https://www.jpost.com/israel-news/the-pros-and-cons-of-working-remotely-631083
322,Scripps reopens 3 clinics that had been closed during pandemic,2020-05-26T18:32:00.0000000Z,Fox 5 San Diego,https://fox5sandiego.com/news/coronavirus/scripps-reopens-3-clinics-that-had-been-closed-during-pandemic/
323,May 15 update on COVID-19 in MN: 683 deaths; alert issued for syndrome affecting kids,2020-05-15T10:31:00.0000000Z,MPR News,https://www.mprnews.org/story/2020/05/15/latest-on-covid19-in-mn
324,Mayo: Why you need to keep your child’s vaccine schedule during COVID-19,2020-06-15T17:21:00.0000000Z,Southern Minn,https://www.southernminn.com/le_sueur_county_news/opinion/article_52d8953d-bc2c-546a-9644-15cd49bfd6c1.html
325,Why a Mayo Clinic expert has grave concerns about second wave of COVID-19,2020-04-28T15:11:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/why-a-mayo-clinic-expert-has-grave-concerns-about-second-wave-of-covid-19/ar-BB13k23e
326,Crisis pregnancy centers provide essential aid during COVID-19 pandemic,2020-05-15T21:37:00.0000000Z,Baptist Press,http://bpnews.net/54812/crisis-pregnancy-centers-provide-essential-aid-during-covid19-pandemic
327,Airports in Anchorage and Fairbanks offer COVID-19 testing to some out-of-state workers,2020-05-19T00:00:00.0000000Z,Alaska Dispatch News,https://www.adn.com/alaska-news/2020/05/19/airports-in-anchorage-and-fairbanks-offer-covid-19-testing-to-some-out-of-state-workers/
328,"Cleveland Clinic, Clorox partner with United Airlines to help keep plane passengers safe during COVID-19 crisis",2020-05-20T15:08:00.0000000Z,MSN,https://www.msn.com/en-us/travel/news/cleveland-clinic-clorox-partner-with-united-airlines-to-help-keep-plane-passengers-safe-during-covid-19-crisis/ar-BB14mOnZ
329,Immokalee to get more COVID-19 testing for Sunday and for weekday evenings,2020-05-29T17:49:00.0000000Z,MSN,https://www.msn.com/en-us/news/us/immokalee-to-get-more-covid-19-testing-for-sunday-and-for-weekday-evenings/ar-BB14M265
330,UAE’s genetic sequencing of COVID-19 finds 17 new mutations,2020-05-30T15:21:00.0000000Z,Gulf News,https://gulfnews.com/uae/health/uaes-genetic-sequencing-of-covid-19-finds-17-new-mutations-1.71771661
331,Study Aims to Document Whether Yoga and Meditation Can Reduce COVID-19 Anxiety,2020-05-26T23:56:00.0000000Z,Everyday Health,https://www.everydayhealth.com/coronavirus/study-aims-to-document-whether-yoga-and-meditation-can-reduce-covid-19-related-anxiety/
332,Lake Tahoe comedy scene with Howie Nave: Tommy Lama at Carson Comedy Club; John Caponera at The Improv,2019-07-18T13:38:00.0000000Z,Tahoe Daily Tribune.com,https://www.tahoedailytribune.com/news/lake-tahoe-comedy-scene-with-howie-nave-tommy-lama-at-carson-comedy-club-john-caponera-at-the-improv/
333,"Inside a COVID-19 hospital in India, doctors see no end in sight",2020-05-28T23:05:00.0000000Z,MSN,https://www.msn.com/en-us/news/world/inside-a-covid-19-hospital-in-india-doctors-see-no-end-in-sight/ar-BB14J9qd
334,"Inside a COVID-19 hospital in India, doctors see no end in sight",2020-05-28T23:05:00.0000000Z,MSN,https://www.msn.com/en-us/news/world/inside-a-covid-19-hospital-in-india-doctors-see-no-end-in-sight/ar-BB14J9qd
335,Indonesia to receive first delivery of COVID-19 ventilators from US in June,2020-05-27T13:06:00.0000000Z,The Jakarta Post,https://www.thejakartapost.com/news/2020/05/27/indonesia-to-receive-first-delivery-of-covid-19-ventilators-from-us-in-june.html
336,Indonesia to receive first delivery of COVID-19 ventilators from US in June,2020-05-27T13:06:00.0000000Z,The Jakarta Post,https://www.thejakartapost.com/news/2020/05/27/indonesia-to-receive-first-delivery-of-covid-19-ventilators-from-us-in-june.html
337,Lake Tahoe comedy scene with Howie Nave: Cope to make Tahoe debut; Amir K at Improv; Lowell at Loft,2020-03-05T13:47:00.0000000Z,Tahoe Daily Tribune.com,https://www.tahoedailytribune.com/news/lake-tahoe-comedy-scene-with-howie-nave-cope-to-make-tahoe-debut-amir-k-at-improv-lowell-at-loft/
338,Bryan hits high for COVID-19 patients from Lancaster County,2020-05-26T12:00:00.0000000Z,Lincoln Journal Star,https://journalstar.com/business/local/bryan-hits-high-for-covid-19-patients-from-lancaster-county/article_145719aa-c323-52ac-8b57-859cadbef598.html
339,New COVID-19 patients admitted to St. Louis area hospitals hits highest point in a week,2020-05-30T00:36:00.0000000Z,MSN,https://www.msn.com/en-us/health/medical/new-covid-19-patients-admitted-to-st-louis-area-hospitals-hits-highest-point-in-a-week/ar-BB14MGQh
340,"MN nursing homes have 81% of COVID-19 deaths, still taking positive patients, local officials weigh in",2020-05-22T23:15:00.0000000Z,Valley News Live,https://www.valleynewslive.com/content/news/Data-shows-81-of--570708611.html
341,"MN nursing homes have 81% of COVID-19 deaths, still taking positive patients, local officials weigh in",2020-05-22T23:15:00.0000000Z,Valley News Live,https://www.valleynewslive.com/content/news/Data-shows-81-of--570708611.html
342,"New Brunswick reports three new cases of COVID-19, brings confirmed total to 160",2020-06-15T18:34:07.0000000Z,The Canadian Press on MSN.com,https://www.msn.com/en-ca/news/canada/new-brunswick-reports-three-new-cases-of-covid-19-brings-confirmed-total-to-160/ar-BB15vGXw
343,"New Brunswick reports three new cases of COVID-19, brings confirmed total to 160",2020-06-15T18:34:07.0000000Z,The Canadian Press on MSN.com,https://www.msn.com/en-ca/news/canada/new-brunswick-reports-three-new-cases-of-covid-19-brings-confirmed-total-to-160/ar-BB15vGXw
344,COVID-19 cases emerge among residents of Yukon-Kuskokwim Delta and North Slope,2020-05-28T02:21:00.0000000Z,Alaska Dispatch News,https://www.adn.com/alaska-news/rural-alaska/2020/05/27/2-covid-19-cases-emerge-among-residents-of-y-k-delta-and-north-slope/
345,Warning For The U.S.: Diabetes And Coronavirus Cocktail Killing Young People In Mexico,2020-05-24T00:00:00.0000000Z,Forbes,https://www.forbes.com/sites/andrewwight/2020/05/24/warning-for-the-us-diabetes-and-coronavirus-cocktail-killing-young-people-in-mexico/
